day,cumulative_cost,reward,Node_1_inventory,Node_1_backlog,Node_1_pipeline,Node_1_order,Node_2_inventory,Node_2_backlog,Node_2_pipeline,Node_2_order,Node_3_inventory,Node_3_backlog,Node_3_pipeline,Node_3_order,Node_4_inventory,Node_4_backlog,Node_4_pipeline,Node_4_order,Node_5_inventory,Node_5_backlog,Node_5_pipeline,Node_5_order
45,3052.8,-56.90000000000009,12,0,0,3,13,0,0,0,13,0,0,0,16,0,0,0,16,0,0,0
46,3110.4,-57.59999999999991,13,0,0,2,11,0,3,3,11,0,3,3,13,0,0,0,13,0,0,0
47,3183.5,-73.09999999999991,13,0,0,1,13,0,2,2,13,0,2,2,11,0,3,3,11,0,3,3
48,3251.6,-68.09999999999991,13,0,0,1,14,0,1,1,14,0,1,1,13,0,2,2,13,0,2,2
49,3314.7,-63.09999999999991,13,0,0,1,14,0,1,1,14,0,1,1,14,0,1,1,14,0,1,1
50,3377.7999999999997,-63.09999999999991,13,0,0,1,14,0,1,1,14,0,1,1,14,0,1,1,14,0,1,1
51,3440.4999999999995,-62.69999999999982,11,0,0,1,14,0,1,1,14,0,1,1,14,0,1,1,14,0,1,1
52,3502.5999999999995,-62.09999999999991,13,0,0,3,12,0,1,1,12,0,1,1,14,0,1,1,14,0,1,1
53,3565.6999999999994,-63.09999999999991,13,0,0,1,12,0,3,3,12,0,3,3,12,0,1,1,12,0,1,1
54,3638.399999999999,-72.69999999999982,11,0,0,1,14,0,1,1,14,0,1,1,12,0,3,3,12,0,3,3
55,3700.6999999999994,-62.30000000000018,14,0,0,3,12,0,1,1,12,0,1,1,14,0,1,1,14,0,1,1
56,3763.899999999999,-63.19999999999982,11,0,0,0,13,0,3,3,13,0,3,3,12,0,1,1,12,0,1,1
57,3835.7999999999993,-71.90000000000009,12,0,0,3,13,0,0,0,13,0,0,0,13,0,3,3,13,0,3,3
58,3892.999999999999,-57.19999999999982,11,0,0,2,11,0,3,3,11,0,3,3,13,0,0,0,13,0,0,0
59,3964.699999999999,-71.69999999999982,11,0,0,3,11,0,2,2,11,0,2,2,11,0,3,3,11,0,3,3
60,4031.3999999999987,-66.69999999999982,11,0,0,3,10,0,3,3,10,0,3,3,11,0,2,2,11,0,2,2
61,4103.0999999999985,-71.69999999999982,11,0,0,3,10,0,3,3,10,0,3,3,10,0,3,3,10,0,3,3
62,4175.199999999999,-72.10000000000036,13,0,0,3,10,0,3,3,10,0,3,3,10,0,3,3,10,0,3,3
63,4248.0999999999985,-72.89999999999964,12,0,0,1,12,0,3,3,12,0,3,3,10,0,3,3,10,0,3,3
64,4320.899999999999,-72.80000000000018,14,0,0,2,13,0,1,1,13,0,1,1,12,0,3,3,12,0,3,3
65,4383.899999999999,-63.0,10,0,0,0,14,0,2,2,14,0,2,2,13,0,1,1,13,0,1,1
66,4450.0999999999985,-66.19999999999982,11,0,0,4,12,0,0,0,12,0,0,0,14,0,2,2,14,0,2,2
67,4506.5999999999985,-56.5,10,0,0,3,9,0,4,4,9,0,4,4,12,0,0,0,12,0,0,0
68,4582.999999999998,-76.39999999999964,12,0,0,4,9,0,3,3,9,0,3,3,9,0,4,4,9,0,4,4
69,4654.799999999998,-71.80000000000018,9,0,0,2,10,0,4,4,10,0,4,4,9,0,3,3,9,0,3,3
70,4730.899999999999,-76.10000000000036,13,0,0,5,9,0,2,2,9,0,2,2,10,0,4,4,10,0,4,4
71,4798.799999999998,-67.89999999999964,12,0,0,1,10,0,5,5,10,0,5,5,9,0,2,2,9,0,2,2
72,4881.199999999998,-82.39999999999964,12,0,0,2,13,0,1,1,13,0,1,1,10,0,5,5,10,0,5,5
