day,cumulative_cost,reward,Node_1_inventory,Node_1_backlog,Node_1_pipeline,Node_1_order,Node_2_inventory,Node_2_backlog,Node_2_pipeline,Node_2_order,Node_3_inventory,Node_3_backlog,Node_3_pipeline,Node_3_order,Node_4_inventory,Node_4_backlog,Node_4_pipeline,Node_4_order,Node_5_inventory,Node_5_backlog,Node_5_pipeline,Node_5_order
0,53.6,-53.6,8,0,0,1,14,0,0,0,14,0,0,0,15,0,0,0,15,0,0,0
1,104.80000000000001,-51.20000000000001,6,0,0,1,13,0,1,1,13,0,0,0,14,0,0,0,14,0,0,0
2,152.4,-47.599999999999994,3,0,0,1,13,0,1,1,12,0,0,0,13,0,0,0,13,0,0,0
3,199.9,-47.5,10,0,0,25,2,0,1,1,0,0,1,1,12,0,0,0,12,0,0,0
4,226.3,-26.400000000000006,7,0,0,0,2,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0
5,253.3,-27.0,5,0,0,1,2,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0
6,293.40000000000003,-40.10000000000002,3,0,0,25,2,0,1,1,0,0,0,0,11,0,0,0,11,0,0,0
7,359.40000000000003,-66.0,-1,1,0,25,3,0,11,25,0,0,0,0,0,0,0,0,0,0,0,0
8,416.40000000000003,-57.0,-5,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,576.9000000000001,-160.50000000000006,-7,7,0,25,14,0,0,9,0,0,25,25,0,0,0,0,0,0,0,0
10,590.9000000000001,-14.0,5,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
11,602.3000000000001,-11.399999999999977,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
12,614.5000000000001,-12.200000000000045,1,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
13,724.0000000000001,-109.5,-2,2,0,25,0,0,0,25,11,0,11,11,0,0,0,0,0,0,0,0
14,820.5000000000001,-96.5,-3,3,0,9,0,0,0,9,22,0,11,11,0,0,0,0,0,0,0,0
15,1042.0,-221.4999999999999,-8,8,0,9,0,0,0,9,30,0,6,6,0,0,11,11,0,0,11,11
16,1271.5,-229.5,-10,10,0,9,0,0,11,9,30,0,0,0,0,0,11,11,0,0,11,11
17,1310.5,-39.0,-2,2,0,0,0,0,11,0,19,0,0,0,0,0,0,0,0,0,0,0
18,1320.3,-9.799999999999955,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
19,1329.7,-9.400000000000091,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
20,1338.9,-9.200000000000045,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
21,1347.5,-8.599999999999909,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
22,1355.7,-8.200000000000045,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
23,1414.2,-58.5,-1,1,0,9,0,0,0,9,8,0,9,9,0,0,0,0,0,0,0,0
24,1568.7,-154.5,-2,2,0,9,0,0,0,9,17,0,9,9,0,0,11,11,0,0,11,11
25,1624.7,-56.0,-3,3,0,0,0,0,11,0,26,0,0,0,0,0,0,0,0,0,0,0
