day,cumulative_cost,reward,Node_1_inventory,Node_1_backlog,Node_1_pipeline,Node_1_order,Node_2_inventory,Node_2_backlog,Node_2_pipeline,Node_2_order,Node_3_inventory,Node_3_backlog,Node_3_pipeline,Node_3_order,Node_4_inventory,Node_4_backlog,Node_4_pipeline,Node_4_order,Node_5_inventory,Node_5_backlog,Node_5_pipeline,Node_5_order
0,53.8,-53.8,9,0,0,1,14,0,0,0,14,0,0,0,15,0,0,0,15,0,0,0
1,105.4,-51.60000000000001,8,0,0,1,13,0,1,1,13,0,0,0,14,0,0,0,14,0,0,0
2,153.60000000000002,-48.20000000000002,6,0,0,1,13,0,1,1,12,0,0,0,13,0,0,0,13,0,0,0
3,198.60000000000002,-45.0,5,0,0,1,13,0,1,1,11,0,0,0,12,0,0,0,12,0,0,0
4,240.40000000000003,-41.80000000000001,4,0,0,1,13,0,1,1,10,0,0,0,11,0,0,0,11,0,0,0
5,281.40000000000003,-41.0,5,0,0,1,13,0,1,1,9,0,1,1,10,0,0,0,10,0,0,0
6,318.40000000000003,-37.0,5,0,0,1,13,0,1,1,9,0,0,0,9,0,0,0,9,0,0,0
7,352.20000000000005,-33.80000000000001,4,0,0,1,13,0,1,1,8,0,0,0,8,0,0,0,8,0,0,0
8,382.20000000000005,-30.0,0,0,0,1,13,0,1,1,7,0,0,0,7,0,0,0,7,0,0,0
9,442.20000000000005,-60.0,5,0,0,30,7,0,7,9,0,0,11,11,0,0,0,0,0,0,0,0
10,446.90000000000003,-4.699999999999989,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,450.8,-3.8999999999999773,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,454.3,-3.5,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,457.2,-2.8999999999999773,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,459.3,-2.1000000000000227,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,461.8,-2.5,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,562.8,-100.99999999999994,-2,2,0,30,3,0,0,25,0,0,11,11,0,0,0,0,0,0,0,0
17,650.3,-87.5,-3,3,0,11,0,0,0,11,8,0,11,11,0,0,0,0,0,0,0,0
18,757.8,-107.5,-3,3,0,30,0,0,0,11,19,0,11,11,0,0,0,0,0,0,0,0
19,969.3,-211.5,-6,6,0,9,0,0,0,9,30,0,11,11,0,0,11,11,0,0,11,11
20,1083.3,-114.0,-8,8,0,1,0,0,11,2,30,0,0,0,0,0,0,0,0,0,0,0
21,1106.5,-23.200000000000045,1,0,0,1,0,0,0,2,19,0,0,0,0,0,0,0,0,0,0,0
22,1190.0,-83.5,-2,2,0,9,0,0,0,9,19,0,11,11,0,0,0,0,0,0,0,0
23,1411.5,-221.5,-7,7,0,9,0,0,0,9,30,0,11,11,0,0,11,11,0,0,11,11
24,1612.5,-201.0,-9,9,0,1,0,0,11,2,30,0,0,0,0,0,11,11,0,0,11,11
25,1631.9,-19.40000000000009,2,0,0,0,0,0,11,0,19,0,0,0,0,0,0,0,0,0,0,0
26,1642.1000000000001,-10.200000000000045,11,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
27,1651.9,-9.799999999999955,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
28,1661.5,-9.599999999999909,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
29,1670.9,-9.400000000000091,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
30,1680.3000000000002,-9.400000000000091,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
31,1689.1000000000001,-8.799999999999955,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
32,1697.1000000000001,-8.0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
33,1836.6000000000001,-139.5,-1,1,0,9,0,0,0,9,8,0,11,11,0,0,11,11,0,0,11,11
34,1885.6000000000001,-49.0,-3,3,0,0,0,0,11,0,19,0,0,0,0,0,0,0,0,0,0,0
35,1895.2,-9.599999999999909,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
36,1904.2,-9.0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
37,1912.8,-8.599999999999909,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
38,1930.8,-18.0,-1,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
39,2097.3,-166.50000000000023,-3,3,0,30,0,0,0,9,8,0,9,9,0,0,11,11,0,0,11,11
40,2154.3,-57.0,-4,4,0,0,0,0,11,0,17,0,0,0,0,0,0,0,0,0,0,0
41,2161.5,-7.199999999999818,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
42,2177.5,-16.0,-1,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
43,2321.0,-143.5,-2,2,0,9,0,0,0,9,6,0,9,9,0,0,11,11,0,0,11,11
44,2366.0,-45.0,-3,3,0,0,0,0,11,0,15,0,0,0,0,0,0,0,0,0,0,0
45,2371.6,-5.599999999999909,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
46,2376.7999999999997,-5.199999999999818,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
47,2381.6,-4.800000000000182,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
48,2386.0,-4.400000000000091,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
49,2392.2,-6.199999999999818,1,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
50,2450.7,-58.5,-1,1,0,9,0,0,0,9,4,0,11,11,0,0,0,0,0,0,0,0
51,2540.2,-89.5,-3,3,0,9,0,0,0,9,15,0,11,11,0,0,0,0,0,0,0,0
52,2753.7,-213.5,-7,7,0,9,0,0,0,9,26,0,9,9,0,0,11,11,0,0,11,11
53,2959.7,-206.0,-9,9,0,2,0,0,11,2,30,0,2,2,0,0,11,11,0,0,11,11
54,2998.7,-39.0,-2,2,0,0,0,0,11,0,19,0,0,0,0,0,0,0,0,0,0,0
55,3008.1,-9.400000000000091,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
56,3016.9,-8.800000000000182,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
57,3025.5,-8.599999999999909,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
58,3033.9,-8.400000000000091,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
59,3043.9,-10.0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
60,3209.4,-165.5,-4,4,0,9,0,0,0,9,8,0,9,9,0,0,11,11,0,0,11,11
61,3276.4,-67.0,-5,5,0,0,0,0,11,0,17,0,0,0,0,0,0,0,0,0,0,0
62,3283.2000000000003,-6.800000000000182,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
63,3290.0000000000005,-6.800000000000182,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
64,3296.6000000000004,-6.599999999999909,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
65,3312.6000000000004,-16.0,-1,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
