day,cumulative_cost,reward,Node_1_inventory,Node_1_backlog,Node_1_pipeline,Node_1_order,Node_2_inventory,Node_2_backlog,Node_2_pipeline,Node_2_order,Node_3_inventory,Node_3_backlog,Node_3_pipeline,Node_3_order,Node_4_inventory,Node_4_backlog,Node_4_pipeline,Node_4_order,Node_5_inventory,Node_5_backlog,Node_5_pipeline,Node_5_order
0,54.0,-54.0,10,0,0,1,14,0,0,0,14,0,0,0,15,0,0,0,15,0,0,0
1,106.5,-52.5,10,0,0,1,13,0,0,0,13,0,0,0,15,0,0,0,15,0,0,0
2,157.3,-50.80000000000001,9,0,0,1,12,0,0,0,12,0,0,0,15,0,0,0,15,0,0,0
3,206.3,-49.0,10,0,0,1,11,0,1,1,11,0,0,0,14,0,0,0,14,0,0,0
4,252.60000000000002,-46.30000000000001,9,0,0,1,11,0,0,0,10,0,0,0,14,0,0,0,14,0,0,0
5,297.40000000000003,-44.80000000000001,9,0,0,1,10,0,0,0,9,0,0,0,14,0,0,0,14,0,0,0
6,340.1,-42.69999999999999,6,0,0,1,9,0,0,0,8,0,0,0,14,0,0,0,14,0,0,0
7,382.8,-42.69999999999999,6,0,0,1,8,0,1,1,7,0,1,1,13,0,0,0,13,0,0,0
8,421.1,-38.30000000000001,4,0,0,1,8,0,1,1,7,0,0,0,12,0,0,0,12,0,0,0
9,463.20000000000005,-42.10000000000002,8,0,0,25,2,0,1,1,0,0,0,0,11,0,0,0,11,0,0,0
10,488.30000000000007,-25.100000000000023,8,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0
11,514.4000000000001,-26.100000000000023,8,0,0,1,3,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0
12,540.1000000000001,-25.700000000000045,6,0,0,1,3,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0
13,565.2000000000002,-25.100000000000023,3,0,0,1,3,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0
14,631.2000000000002,-66.0,-1,1,0,25,3,0,11,25,0,0,0,0,0,0,0,0,0,0,0,0
15,678.2000000000002,-47.0,-4,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,790.7000000000002,-112.5,-5,5,0,30,14,0,0,9,0,0,11,11,0,0,0,0,0,0,0,0
17,844.9000000000002,-54.200000000000045,6,0,0,25,3,0,0,9,0,0,9,9,0,0,0,0,0,0,0,0
18,852.7000000000002,-7.7999999999999545,9,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
19,859.7000000000002,-7.0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
20,865.9000000000002,-6.2000000000000455,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
21,946.4000000000002,-80.5,0,0,0,25,0,0,0,25,6,0,9,9,0,0,0,0,0,0,0,0
22,1011.9000000000002,-65.5,-1,1,0,9,0,0,0,9,15,0,9,9,0,0,0,0,0,0,0,0
23,1163.4,-151.4999999999999,-1,1,0,9,0,0,0,9,24,0,9,9,0,0,11,11,0,0,11,11
24,1213.4,-50.0,-2,2,0,0,0,0,11,0,30,0,0,0,0,0,0,0,0,0,0,0
25,1233.6000000000001,-20.200000000000045,6,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
26,1253.0000000000002,-19.40000000000009,2,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
27,1322.5000000000002,-69.5,-1,1,0,9,0,0,0,9,19,0,9,9,0,0,0,0,0,0,0,0
28,1478.0000000000002,-155.5,-1,1,0,9,0,0,0,9,28,0,9,9,0,0,11,11,0,0,11,11
29,1548.0000000000002,-70.0,-4,4,0,0,0,0,11,0,30,0,0,0,0,0,0,0,0,0,0,0
30,1568.2000000000003,-20.200000000000045,6,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
31,1588.2000000000003,-20.0,5,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
32,1608.2000000000003,-20.0,5,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
33,1627.6000000000004,-19.40000000000009,2,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
34,1687.1000000000004,-59.5,0,0,0,9,0,0,0,9,19,0,9,9,0,0,0,0,0,0,0,0
35,1777.6000000000004,-90.5,0,0,0,9,0,0,0,9,28,0,9,9,0,0,0,0,0,0,11,11
36,1932.1000000000004,-154.5,-1,1,0,9,0,0,0,9,30,0,2,2,0,0,11,11,11,0,11,11
37,1997.1000000000004,-65.0,-2,2,0,1,0,0,11,2,30,0,0,0,0,0,0,0,11,0,0,0
38,2028.1000000000004,-31.0,5,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,11,0,0,0
39,2058.9000000000005,-30.800000000000182,4,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,11,0,0,0
40,2090.5000000000005,-31.59999999999991,3,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0,11,0,0,0
41,2161.4000000000005,-70.90000000000009,2,0,0,9,0,0,0,9,19,0,9,9,0,0,0,0,11,0,0,0
42,2260.9000000000005,-99.5,-2,2,0,9,0,0,0,9,28,0,9,9,0,0,0,0,11,0,0,0
43,2431.4000000000005,-170.5,-4,4,0,9,0,0,0,9,30,0,2,2,0,0,9,9,11,0,9,9
44,2617.9000000000005,-186.5,-6,6,0,9,0,0,9,9,30,0,0,0,0,0,9,9,11,0,9,9
45,2659.9000000000005,-42.0,-1,1,0,0,0,0,9,0,21,0,0,0,0,0,0,0,11,0,0,0
46,2683.7000000000007,-23.800000000000182,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,11,0,0,0
47,2706.9000000000005,-23.199999999999818,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,11,0,0,0
48,2843.4000000000005,-136.5,-1,1,0,9,0,0,0,9,12,0,9,9,0,0,9,9,11,0,9,9
49,2885.4000000000005,-42.0,-1,1,0,0,0,0,9,0,21,0,0,0,0,0,0,0,11,0,0,0
50,2909.6000000000004,-24.199999999999818,6,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,11,0,0,0
51,2933.6000000000004,-24.0,5,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,11,0,0,0
