day,cumulative_cost,reward,Node_1_inventory,Node_1_backlog,Node_1_pipeline,Node_1_order,Node_2_inventory,Node_2_backlog,Node_2_pipeline,Node_2_order,Node_3_inventory,Node_3_backlog,Node_3_pipeline,Node_3_order,Node_4_inventory,Node_4_backlog,Node_4_pipeline,Node_4_order,Node_5_inventory,Node_5_backlog,Node_5_pipeline,Node_5_order
0,53.8,-53.8,9,0,0,1,14,0,0,0,14,0,0,0,15,0,0,0,15,0,0,0
1,105.8,-52.0,10,0,0,1,13,0,1,1,13,0,0,0,14,0,0,0,14,0,0,0
2,154.1,-48.3,4,0,0,1,13,0,0,0,12,0,0,0,14,0,0,0,14,0,0,0
3,203.1,-49.0,15,0,0,25,1,0,1,1,0,0,1,1,13,0,0,0,13,0,0,0
4,232.6,-29.5,15,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0
5,261.5,-28.900000000000006,12,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0
6,290.4,-28.899999999999977,12,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0
7,319.29999999999995,-28.899999999999977,12,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0
8,347.59999999999997,-28.30000000000001,9,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0
9,375.9,-28.30000000000001,4,0,0,1,1,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0
10,430.7,-54.80000000000001,4,0,0,25,1,0,13,25,0,0,0,0,0,0,0,0,0,0,0,0
11,438.09999999999997,-7.399999999999977,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,466.09999999999997,-28.0,-2,2,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,568.5999999999999,-102.49999999999994,-4,4,0,30,14,0,0,9,0,0,11,11,0,0,0,0,0,0,0,0
14,618.5999999999999,-50.0,5,0,0,9,3,0,0,11,0,0,11,11,0,0,0,0,0,0,0,0
15,627.9999999999999,-9.399999999999977,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
16,636.5999999999999,-8.600000000000023,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
17,645.9999999999999,-9.399999999999977,2,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
18,655.9999999999999,-10.0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
19,708.4999999999999,-52.5,0,0,0,9,0,0,0,9,8,0,11,11,0,0,0,0,0,0,0,0
20,784.9999999999999,-76.5,-1,1,0,9,0,0,0,11,19,0,11,11,0,0,0,0,0,0,0,0
21,869.4999999999999,-84.5,-1,1,0,9,0,0,0,9,30,0,11,11,0,0,0,0,0,0,0,0
22,1029.0,-159.5000000000001,-3,3,0,9,0,0,0,9,30,0,0,0,0,0,11,11,0,0,11,11
23,1145.0,-116.0,-5,5,0,1,0,0,11,2,30,0,0,0,0,0,2,2,0,0,11,11
